FOLIO,full_address,zip_code,n_roof_permits,last_roof_permit_date,LastRoofYear,roof_age,roof_confidence,n_violations,has_unsafe_viol,n_roof_contractors_zip
3050180030820,"12810 SW 109 PL, UNINCORPORATED COUNTY, FL 33176",33176.0,1.0,2025-03-27 00:00:00+00:00,2025.0,1.0,0.9,,0,19.0
3040150040740,"8310 SW 30 ST, UNINCORPORATED COUNTY, FL 33155",33155.0,1.0,2024-03-07 00:00:00+00:00,2024.0,2.0,0.9,,0,24.0
3031150540290,"2110 NW 69 ST, UNINCORPORATED COUNTY, FL 33147",33147.0,1.0,2025-05-01 00:00:00+00:00,2025.0,1.0,0.9,,0,4.0
3031020150190,"1261 LITTLE RIVER DR, UNINCORPORATED COUNTY, FL 33147",33147.0,1.0,2024-02-07 00:00:00+00:00,2024.0,2.0,0.9,,0,4.0
3050320380150,"17825 SW 105 AVE, UNINCORPORATED COUNTY, FL 33157",33157.0,1.0,2024-08-02 00:00:00+00:00,2024.0,2.0,0.9,,0,21.0
3022050600400,"1549 NE 194 ST, UNINCORPORATED COUNTY, FL 33179",33179.0,1.0,2025-02-05 00:00:00+00:00,2025.0,1.0,0.9,,0,9.0
3060180160050,"11440 SW 224 ST, UNINCORPORATED COUNTY, FL 33170",33170.0,2.0,2025-02-19 00:00:00+00:00,2025.0,1.0,0.9,,0,5.0
3012310990480,"340 NE 211 ST, UNINCORPORATED COUNTY, FL 33179",33179.0,1.0,2025-04-03 00:00:00+00:00,2025.0,1.0,0.9,,0,9.0
3049100190400,"1032 SW 138 PL, UNINCORPORATED COUNTY, FL 33184",33184.0,1.0,2024-02-17 00:00:00+00:00,2024.0,2.0,0.9,,0,2.0
3050070080070,"10744 SW 110 TER, UNINCORPORATED COUNTY, FL 33176",33176.0,1.0,2024-08-26 00:00:00+00:00,2024.0,2.0,0.9,,0,19.0
3049140011370,"3000 SW 128 AVE, UNINCORPORATED COUNTY, FL 33175",33175.0,1.0,2024-03-11 00:00:00+00:00,2024.0,2.0,0.9,1.0,0,9.0
